year,month,share
2004,1,100.4149
2004,2,100.4375
2004,3,100.0997
2004,4,99.8196
2004,5,100.0403
2004,6,98.4201
2004,7,100.8479
2004,8,99.4411
2004,9,101.4966
2004,10,101.602
2004,11,101.1748
2004,12,103.5333
2005,1,102.0901
2005,2,100.3221
2005,3,100.5858
2005,4,100.4201
2005,5,98.7086
2005,6,98.563
2005,7,98.0581
2005,8,100.5554
2005,9,101.9386
2005,10,101.6816
2005,11,101.3504
2005,12,101.8443
2006,1,101.1943
2006,2,100.1813
2006,3,100.0885
2006,4,101.7955
2006,5,102.4214
2006,6,99.8331
2006,7,100.7882
2006,8,99.579
2006,9,99.9902
2006,10,100.7575
2006,11,100.9923
2006,12,100.8604
2007,1,102.7384
2007,2,100.725
2007,3,98.9258
2007,4,100.2878
2007,5,101.6252
2007,6,99.8161
2007,7,100.1401
2007,8,100.6303
2007,9,101.1695
2007,10,102.8369
2007,11,101.3753
2007,12,100.2597
2008,1,102.4907
2008,2,100.9175
2008,3,100.1134
2008,4,100.2645
2008,5,100.7297
2008,6,99.907
2008,7,98.7612
2008,8,103.3752
2008,9,99.2021
2008,10,99.5039
2008,11,100.6614
2008,12,99.5815
2009,1,101.4159
2009,2,98.6502
2009,3,99.6011
2009,4,100.4748
2009,5,101.1824
2009,6,100.0091
2009,7,96.6327
2009,8,100.023
2009,9,102.833
2009,10,102.2411
2009,11,100.1678
2009,12,99.8618
2010,1,101.1276
2010,2,101.4746
2010,3,99.8126
2010,4,100.2401
2010,5,99.6441
2010,6,99.7041
2010,7,99.7629
2010,8,102.3253
2010,9,103.098
2010,10,102.0379
2010,11,101.0512
2010,12,100.4931
2011,1,102.0537
2011,2,102.8186
2011,3,99.9782
2011,4,99.8573
2011,5,100.375
2011,6,95.9562
2011,7,98.3714
2011,8,101.0572
2011,9,100.6036
2011,10,99.8484
2011,11,100.6551
2011,12,100.6154
2012,1,100.4908
2012,2,100.2266
2012,3,99.8186
2012,4,99.9655
2012,5,99.1494
2012,6,99.0525
2012,7,99.1054
2012,8,100.1287
2012,9,100.8441
2012,10,100.0476
2012,11,100.0863
2012,12,99.7194
2013,1,100.26
2013,2,99.6999
2013,3,99.8672
2013,4,100.3651
2013,5,100.7285
2013,6,99.403
2013,7,98.6568
2013,8,99.9877
2013,9,99.8915
2013,10,101.5344
2013,11,100.5203
2013,12,101.469
2014,1,100.7962
2014,2,100.2241
2014,3,99.8971
2014,4,100.3042
2014,5,99.731
2014,6,99.0506
2014,7,99.4381
2014,8,100.4998
2014,9,101.2204
2014,10,100.2642
2014,11,99.8625
2014,12,100.6664
2015,1,100.2447
2015,2,100.1044
2015,3,101.1681
2015,4,100.2606
2015,5,100.6483
2015,6,100.0218
2015,7,99.8004
2015,8,100.9958
2015,9,101.0713
2015,10,100.8151
2015,11,100.2956
2015,12,99.3643
2016,1,100.9054
2016,2,100.108
2016,3,99.7182
2016,4,99.3907
2016,5,99.5888
2016,6,99.1095
2016,7,100.1664
2016,8,100.4078
2016,9,100.2643
2016,10,100.5458
2016,11,100.6025
2016,12,101.0292
2017,1,102.9306
2017,2,101.7088
2017,3,99.5437
2017,4,100.11
2017,5,100.0028
2017,6,99.6102
2017,7,99.0997
2017,8,100.1996
2017,9,100.6755
2017,10,100.7781
2017,11,101.0917
2017,12,100.8269
2018,1,100.6205
2018,2,100.1692
2018,3,99.6257
2018,4,99.7872
2018,5,99.9685
2018,6,99.3565
2018,7,99.7194
2018,8,100.4981
2018,9,100.2847
2018,10,100.3198
2018,11,100.7062
2018,12,100.4591
2019,1,101.2881
2019,2,100.274
2019,3,100.9978
2019,4,100.2046
2019,5,100.51
2019,6,99.019
2019,7,99.9764
2019,8,100.7891
2019,9,101.6947
2019,10,100.7691
2019,11,100.8659
2019,12,100.4186
2020,1,100.7074
2020,2,100.332
2020,3,100.6519
2020,4,100.944
2020,5,100.2032
2020,6,98.6413
2020,7,99.5253
2020,8,99.976
2020,9,100.6957
2020,10,100.8046
2020,11,100.8865
2020,12,99.0426
2021,1,101.1268
2021,2,101.0607
2021,3,104.1875
2021,4,100.9336
2021,5,100.6544
2021,6,100.6624
2021,7,101.3492
2021,8,100.7452
2021,9,100.7452
